I	87388	87500	+	6898
I	139188	139218	+	6927
I	142254	142619	+	6930
I	151007	151096	-	6933
I	181179	181210	+	6947
II	4117	4215	-	3833
II	36435	36452	+	3847
II	47059	47146	-	3857
II	60194	60697	-	3862
II	110421	110505	-	3894
II	110880	110948	+	3895
II	125155	125270	+	3904
II	142750	142846	-	3914
II	168425	168808	+	3930
II	170677	170804	+	3931
II	186353	186427	-	3939
II	332876	333386	+	4012
II	366503	366584	-	4031
II	393181	393510	+	4048
II	407028	407122	-	4054
II	414754	415259	-	4057
II	426517	426873	-	4065
II	462210	462289	+	4088
II	462430	462499	+	4088
II	479346	479434	+	4096
II	592417	592768	-	4164
II	602104	602216	+	4170
II	604515	604927	+	4173
II	606281	606668	+	4175
II	653369	653452	+	4206
II	662582	663002	-	4210
II	679943	680039	-	4223
II	726918	727011	-	4252
III	90897	90928	+	6550
III	101634	101700	-	6555
III	107034	107110	+	6561
III	107192	107287	+	6561
III	111558	111633	-	6565
III	173116	173198	-	6609
III	177907	178213	-	6612
III	227979	227997	+	6644
III	293940	293993	+	6680
III	294240	294291	+	6680
IV	65307	65377	+	32
IV	117667	118157	+	61
IV	217603	218007	+	120
IV	230020	230320	+	128
IV	239399	239509	-	133
IV	254975	255044	-	143
IV	267726	267806	+	151
IV	307334	307765	-	178
IV	308428	308792	+	179
IV	314045	314336	-	182
IV	322283	322703	+	186
IV	337525	337634	+	198
IV	359614	359636	+	208
IV	399362	399484	+	234
IV	431387	431472	-	254
IV	458018	458097	-	274
IV	491560	491898	+	296
IV	569634	569723	-	337
IV	579479	580017	+	342
IV	629906	630173	+	372
IV	715248	715358	-	413
IV	733703	733775	-	422
IV	884398	884457	+	500
IV	946351	946364	+	532
IV	1073313	1073401	-	600
IV	1095406	1095424	-	613
IV	1103810	1103892	+	615
IV	1212878	1212978	+	672
IV	1236843	1237608	+	689
IV	1238631	1238824	-	690
IV	1266770	1266861	-	707
IV	1319618	1319697	-	736
IV	1319721	1319816	-	736
IV	1355237	1355550	-	760
IV	1359970	1360404	+	763
IV	1401801	1402184	+	786
IV	1450458	1450846	-	815
IV	1461759	1461791	-	822
IV	1507059	1507314	-	857
V	4323	4601	-	5556
V	131777	131899	+	5640
V	148195	148282	+	5653
V	158995	159087	-	5658
V	166772	166874	-	5664
V	184170	184677	-	5674
V	239624	239711	-	5710
V	269752	270148	-	5727
V	306326	306791	+	5750
V	307747	307848	+	5751
V	307957	308067	+	5751
V	348202	348276	-	5783
V	396811	397281	+	5807
V	432672	433196	+	5826
V	548553	548644	+	5889
VI	54378	54686	-	6721
VI	63860	63973	-	6726
VI	64600	64920	-	6727
VI	75840	76091	+	6731
VI	101412	101442	+	6746
VI	157952	157970	-	6777
VI	167476	167489	+	6786
VI	191558	191576	-	6797
VI	203293	203386	-	6803
VI	210655	210668	-	6809
VI	221268	221414	-	6813
VI	242010	242081	+	6833
VII	31427	31578	-	1510
VII	62132	62189	+	1530
VII	72989	73137	-	1536
VII	115525	115547	+	1563
VII	157200	157282	-	1587
VII	167355	167994	+	1592
VII	205559	205590	+	1613
VII	249887	250086	+	1635
VII	287386	287419	-	1655
VII	311016	311526	+	1671
VII	346809	346893	-	1691
VII	364965	365432	-	1702
VII	365527	365985	-	1702
VII	423130	423161	+	1746
VII	435680	435749	+	1753
VII	436313	436374	+	1753
VII	439094	439323	+	1756
VII	440752	440770	-	1758
